id,name,cn,val,reference,color,collection
"""300103701410917281120231227GEN""","""EVAN""","""CNG1""","""54""","""17GENEVANCNG1GENEVANCLGCLARY""","""GRAYCNG1OR""","""24KAAC5417140CC505001"""
"""300103701410927563120231227GEN""","""EVAN""","""CNG14""","""54""","""17GENEVANCNG14GENEVANCLGCLARY""","""GRAYCNG14OR""","""ET"""
"""300103701410927570120231227GEN""","""EVAN""","""CNG16""","""54""","""17GENEVANCNG16GENEVANCLGCLARY""","""GRAYCNG16OR""","""ET"""
"""300103701410917298120231227GEN""","""EVAN""","""CNG1S15""","""54""","""17GENEVANCNG1S15GENEVANCLGCLARY""","""GRAYCNG1S15OR""","""24KBAC5417140CC55550S15DEGRADEC11"""
"""300103701410917267120231227GEN""","""EVAN""","""CNG2""","""54""","""17GENEVANCNG2GENEVANCLGCLARY""","""GRAYCNG2OR""","""ET"""
"""300103701410917274120231227GEN""","""EVAN""","""CNG2S9""","""54""","""17GENEVANCNG2S9GENEVANCLGCLARY""","""GRAYCNG2S9OR""","""ET"""
"""300103701410917243120231227GEN""","""EVAN""","""CNG5""","""54""","""17GENEVANCNG5GENEVANCLGCLARY""","""GRAYCNG5OR""","""ROSEAAC5417140CC505001"""
"""300103701410917250120231227GEN""","""EVAN""","""CNG5S8""","""54""","""17GENEVANCNG5S8GENEVANCLGCLARY""","""GRAYCNG5S8OR""","""ROSEBAC5417140CC55550S8DEGRADEC11"""
"""300103701410922971120231227HEL""","""SINKI""","""CNG1""","""55""","""17HELSINKICNG1HELSINKICLGCLARY""","""GRAYCNG1OR""","""24KAAA5517145CC505001"""
"""300103701410922940120231227HEL""","""SINKI""","""CNG13S11""","""55""","""17HELSINKICNG13S11HELSINKICLGCLARY""","""GRAYCNG13S11OR""","""24K"""
"""300103701410922933120231227HEL""","""SINKI""","""CNG14""","""55""","""17HELSINKICNG14HELSINKICLGCLARY""","""GRAYCNG14OR""","""24K"""
"""300103701410922964120231227HEL""","""SINKI""","""CNG1S20""","""55""","""17HELSINKICNG1S20HELSINKICLGCLARY""","""GRAYCNG1S20OR""","""24KBAA5517145CC55550S20DEGRADEC11"""
